From,To,Regular Road Cost ($),Regular Road Time (mins),Highway Cost ($),Highway Time (mins)
London,Paris,41,456,87,274
London,Milan,108,1200,228,720
London,Vienna,126,1400,266,840
London,Barcelona,135,1500,285,900
London,Madrid,153,1700,323,1020
London,Lyon,87,973,185,584
London,Berlin,99,1700,209,660
London,Venice,122,1350,257,810
London,Rome,162,1800,342,1080
London,Munich,104,1150,219,690
London,Zurich,90,1000,190,600
London,Amsterdam,48,537,102,322
London,Brussels,34,373,71,224
London,Florence,144,1600,304,960
London,Birmingham,18,203,39,122
London,Prague,113,1250,238,750
London,Nantes,63,700,133,420
Paris,Milan,77,850,162,510
Paris,Vienna,112,1240,236,744
Paris,Barcelona,93,1038,197,623
Paris,Madrid,114,1270,241,762
Paris,Lyon,42,464,88,278
Paris,Berlin,95,1050,200,630
Paris,Venice,100,1111,211,667
Paris,Rome,126,1400,266,840
Paris,Munich,76,840,160,504
Paris,Zurich,44,490,93,294
Paris,Amsterdam,46,516,98,310
Paris,Brussels,28,312,59,187
Paris,Florence,104,1150,219,690
Paris,Birmingham,63,707,134,424
Paris,Prague,93,1034,196,620
Paris,Nantes,35,386,73,232
Milan,Vienna,78,870,165,522
Milan,Barcelona,86,950,181,570
Milan,Madrid,114,1268,241,761
Milan,Lyon,40,444,84,266
Milan,Berlin,92,1020,194,612
Milan,Venice,24,268,51,161
Milan,Rome,54,605,115,363
Milan,Munich,45,505,96,303
Milan,Zurich,25,280,53,168
Milan,Amsterdam,102,1130,215,678
Milan,Brussels,90,1000,190,600
Milan,Florence,27,304,58,182
Milan,Birmingham,123,1370,260,822
Milan,Prague,70,780,148,468
Milan,Nantes,105,1170,222,702
Vienna,Barcelona,154,1712,325,1027
Vienna,Madrid,205,2279,433,1368
Vienna,Lyon,108,1205,229,723
Vienna,Berlin,66,735,140,441
Vienna,Venice,51,572,109,343
Vienna,Rome,88,975,185,585
Vienna,Munich,43,478,91,287
Vienna,Zurich,71,791,150,474
Vienna,Amsterdam,118,1313,249,788
Vienna,Brussels,114,1263,240,758
Vienna,Florence,74,817,155,490
Vienna,Birmingham,175,1940,369,1164
Vienna,Prague,31,341,65,205
Vienna,Nantes,161,1794,341,1076
Barcelona,Madrid,54,599,114,360
Barcelona,Lyon,59,658,125,395
Barcelona,Berlin,178,1981,376,1188
Barcelona,Venice,104,1155,219,693
Barcelona,Rome,93,1032,196,619
Barcelona,Munich,120,1335,254,801
Barcelona,Zurich,95,1051,200,631
Barcelona,Amsterdam,147,1631,310,979
Barcelona,Brussels,124,1381,262,828
Barcelona,Florence,87,962,183,577
Barcelona,Birmingham,151,1677,319,1006
Barcelona,Prague,157,1743,331,1046
Barcelona,Nantes,81,900,171,540
Madrid,Lyon,101,1123,213,674
Madrid,Berlin,221,2453,466,1472
Madrid,Venice,156,1739,330,1043
Madrid,Rome,146,1627,309,976
Madrid,Munich,168,1867,355,1120
Madrid,Zurich,140,1558,296,935
Madrid,Amsterdam,175,1939,368,1163
Madrid,Brussels,153,1696,322,1018
Madrid,Florence,140,1559,296,935
Madrid,Birmingham,159,1766,336,1060
Madrid,Prague,204,2270,431,1362
Madrid,Nantes,87,968,184,581
Lyon,Berlin,121,1339,254,804
Lyon,Venice,67,748,142,449
Lyon,Rome,84,934,177,560
Lyon,Munich,68,757,144,454
Lyon,Zurich,39,438,83,263
Lyon,Amsterdam,91,1006,191,604
Lyon,Brussels,69,762,145,457
Lyon,Florence,63,699,133,420
Lyon,Birmingham,110,1225,233,735
Lyon,Prague,104,1152,219,691
Lyon,Nantes,60,671,128,403
Berlin,Venice,98,1083,206,650
Berlin,Rome,141,1571,298,942
Berlin,Munich,64,708,134,425
Berlin,Zurich,84,932,177,559
Berlin,Amsterdam,76,846,161,508
Berlin,Brussels,85,941,179,564
Berlin,Florence,120,1328,252,797
Berlin,Birmingham,137,1526,290,916
Berlin,Prague,36,405,77,243
Berlin,Nantes,153,1702,323,1021
Venice,Rome,44,490,93,294
Venice,Munich,36,401,76,241
Venice,Zurich,42,471,89,282
Venice,Amsterdam,116,1286,244,772
Venice,Brussels,102,1132,215,679
Venice,Florence,23,256,49,154
Venice,Birmingham,160,1778,338,1067
Venice,Prague,65,718,136,431
Venice,Nantes,127,1408,268,845
Rome,Munich,80,889,169,533
Rome,Zurich,78,867,165,520
Rome,Amsterdam,155,1718,326,1031
Rome,Brussels,138,1530,291,918
Rome,Florence,26,285,54,171
Rome,Birmingham,191,2121,403,1273
Rome,Prague,107,1192,226,715
Rome,Nantes,143,1589,302,953
Munich,Zurich,29,323,61,194
Munich,Amsterdam,84,936,178,561
Munich,Brussels,75,830,158,498
Munich,Florence,57,628,119,377
Munich,Birmingham,135,1505,286,903
Munich,Prague,37,408,78,245
Munich,Nantes,119,1317,250,790
Zurich,Amsterdam,77,851,162,511
Zurich,Brussels,60,671,127,402
Zurich,Florence,52,582,111,349
Zurich,Birmingham,118,1307,248,784
Zurich,Prague,64,713,136,428
Zurich,Nantes,91,1007,191,604
Amsterdam,Brussels,23,251,48,151
Amsterdam,Florence,129,1433,272,860
Amsterdam,Birmingham,61,680,129,408
Amsterdam,Prague,92,1017,193,610
Amsterdam,Nantes,92,1024,194,614
Brussels,Florence,112,1247,237,748
Brussels,Birmingham,61,678,129,407
Brussels,Prague,91,1011,192,607
Brussels,Nantes,73,807,153,484
Florence,Birmingham,167,1851,352,1110
Florence,Prague,87,972,185,583
Florence,Nantes,123,1369,260,822
Birmingham,Prague,151,1674,318,1004
Birmingham,Nantes,73,814,155,488
Prague,Nantes,149,1651,314,991
