From,To,Flight Cost ($),Flight Duration (mins)
London,Paris,83,85
London,Milan,80,120
London,Vienna,137,135
London,Barcelona,93,130
London,Madrid,55,145
London,Lyon,91,95
London,Berlin,84,115
London,Venice,82,130
Paris,London,61,90
Paris,Milan,102,90
Paris,Vienna,109,115
Paris,Barcelona,98,105
Paris,Madrid,63,120
Paris,Lyon,90,190
Paris,Berlin,94,105
Paris,Venice,99,100
Milan,London,56,130
Milan,Paris,103,95
Milan,Vienna,89,90
Milan,Barcelona,142,95
Milan,Madrid,47,140
Milan,Lyon,133,240
Milan,Berlin,99,100
Milan,Venice,129,210
Vienna,London,43,140
Vienna,Paris,121,125
Vienna,Milan,102,85
Vienna,Barcelona,173,140
Vienna,Madrid,97,190
Vienna,Lyon,235,110
Vienna,Berlin,124,75
Vienna,Venice,92,65
Barcelona,London,65,145
Barcelona,Paris,72,120
Barcelona,Milan,135,100
Barcelona,Vienna,86,135
Barcelona,Madrid,40,85
Barcelona,Lyon,55,90
Barcelona,Berlin,74,165
Barcelona,Venice,89,110
Madrid,London,43,145
Madrid,Paris,56,125
Madrid,Milan,40,130
Madrid,Vienna,114,180
Madrid,Barcelona,25,75
Madrid,Lyon,39,110
Madrid,Berlin,71,185
Madrid,Venice,60,150
Lyon,London,57,110
Lyon,Paris,84,245
Lyon,Milan,254,60
Lyon,Vienna,209,195
Lyon,Barcelona,118,250
Lyon,Madrid,63,120
Lyon,Berlin,52,115
Lyon,Venice,41,75
Berlin,London,74,130
Berlin,Paris,92,110
Berlin,Milan,109,110
Berlin,Vienna,194,75
Berlin,Barcelona,108,155
Berlin,Madrid,67,195
Berlin,Lyon,141,115
Berlin,Venice,125,100
Venice,London,69,145
Venice,Paris,118,115
Venice,Milan,148,235
Venice,Vienna,62,70
Venice,Barcelona,108,120
Venice,Madrid,64,160
Venice,Lyon,144,85
Venice,Berlin,152,100
